ffspring = [0, 1, 1, 1, 1, 1, 1, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 1, 0, 1, 1, 0, 1], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7916666865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.7083333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.7760416865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.7083333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7864583134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7552083134651184
----------------------- Generation 2---------------------
[0.24687499999999998, 0.22812501788139342, 0.2406250178813934, 0.22187498211860657, 0.234375, 0.2390624821186066, 0.2406250178813934, 0.26406251788139345, 0.23593748211860655, 0.25468751788139343, 0.25156248211860655, 0.2328125, 0.25468751788139343, 0.24687499999999998, 0.25937499999999997, 0.25937499999999997, 0.25156248211860655, 0.24687499999999998, 0.234375, 0.234375]
-------------Best solution = [1, 1, 0, 0, 1, 1, 0, 1],best score = 0.22187498211860657
New best [1, 1, 0, 0, 0, 1, 1, 0] = 0.22812501788139342
New best [1, 1, 0, 0, 1, 1, 0, 1] = 0.22187498211860657
Offspring = [1, 1, 0, 0, 0, 1, 0, 1], val accuracy = 0.7447916865348816
